ENSG00000000005;ENSG00000000457;ENSG00000000938;ENSG00000001036;ENSG00000001084;ENSG00000001167;ENSG00000001460;ENSG00000001461;Y
4;406;344;2023;2003;3074;441;2358;0
47;863;155;5237;1682;3312;1130;4115;1
2;1071;341;3931;1637;1792;1084;2858;1
6;670;290;4567;1528;2295;882;2317;0
10;1179;236;2863;2780;3668;1092;2680;0
19;842;2928;1970;856;1475;745;2619;0
16;698;329;4102;1877;1631;525;2109;1
3;702;165;2831;1098;1670;1790;3434;0
9;593;437;5673;1831;1355;526;1635;1
9;682;193;3382;1462;1421;779;3434;1
2;983;132;3198;4436;3066;1916;4424;1
16;888;100;1810;2093;2301;807;2760;1
10;816;73;2911;2316;1946;650;2105;1
0;1435;334;3039;1417;899;1644;6127;1
0;725;247;2506;1701;3043;674;3063;1
0;1226;210;2453;2414;2565;903;1932;0
4;1113;218;3495;1308;894;2823;4286;0
26;980;404;3297;2240;2981;526;2608;0
16;880;147;3842;1686;2013;935;3159;0
8;1462;319;7930;2307;1955;797;2556;0
0;1076;469;3685;1265;1625;467;3351;1
1;861;170;2814;2102;2889;438;2230;0
8;711;208;2220;2230;2898;746;2025;0
67;778;422;2678;2825;1558;328;1807;0
0;897;138;3519;719;1427;1097;4361;0
107;954;358;1446;1822;1409;458;1783;0
3;901;823;3518;2814;2486;647;3438;0
9;754;65;2005;1314;2145;955;3812;1
3;1521;320;3184;1958;2009;826;7994;1
0;569;643;3056;1369;1590;627;2818;1
0;1099;358;2892;1149;1707;434;1510;1
2;795;243;3536;2213;1863;762;1261;1
0;1431;160;1505;767;2112;2536;3224;1
8;677;172;5112;2020;2935;666;2207;0
4;979;469;2332;1117;1763;728;2646;0
8;1161;504;3453;1046;1797;1503;5313;0
21;711;444;2073;2175;2437;960;3150;1
0;1567;119;3887;1580;2703;1232;3803;1
28;706;523;1909;1538;1465;1083;4012;1
0;718;344;5392;1740;1984;1016;2780;1
986;742;323;2676;2046;4326;603;1918;1
5;884;744;2675;1177;1639;512;3401;1
1;926;182;2973;1218;1619;911;2762;1
0;701;415;3128;1436;2174;570;4847;1
0;1051;193;3229;1631;1800;435;1568;1
7;765;125;3066;3488;2656;614;2167;1
0;916;1948;4476;1745;1396;1907;5213;1
28;996;376;3480;1599;1969;907;3863;1
0;769;302;2398;1152;1621;474;1439;1
2;1888;638;2914;1900;1434;1121;1522;1
5;1214;75;5112;9259;2899;547;1234;1
2;781;164;2442;1154;2339;1210;4395;1
10;1069;165;2698;1924;2807;734;4601;1
32;722;214;4690;2023;2077;494;3084;1
0;862;776;5709;1756;1413;529;3157;0
0;803;633;5324;2518;2228;765;1588;0
5;1084;123;1952;936;1714;1404;3792;0
0;1198;456;3830;2685;2623;894;2279;0
0;481;386;2287;2884;1565;484;1729;0
0;790;677;2975;3493;2173;584;3555;0
17;705;269;6249;2263;2083;698;1708;0
10;1167;183;3106;898;1042;530;1723;1
9;1176;532;3152;864;1431;439;1481;1
7;776;259;4887;1102;2358;612;4998;1
10;1149;535;5913;1496;1944;606;2197;1
1;1175;182;6575;2062;2391;343;1551;1
0;996;317;1941;2293;2268;725;4164;1
3;1428;136;4598;2004;2289;451;1284;1
5;1013;488;2238;2668;2225;1383;4747;1
1;981;42;5982;2442;1738;546;1817;1
4;891;202;2369;1956;1762;490;2367;1
26;558;838;2832;521;1451;795;3106;1
6;767;104;1353;767;1414;2722;5229;1
9;1446;161;2912;1077;1337;967;4572;1
13;696;451;4208;3662;3446;573;2543;1
21;804;611;3498;1884;2439;505;2883;1
3;1001;3905;1719;2044;1359;669;4425;1
0;882;535;4570;1933;2620;595;3641;1
5;1092;303;2613;799;1272;250;1394;1
12;937;320;2913;1078;2341;585;2548;0
0;1104;985;3142;1780;2955;523;2065;0
11;1001;557;3286;1743;1715;432;2754;1
0;1018;413;4258;2407;2578;884;2780;1
4;793;516;4111;1895;1966;499;1804;1
22;854;743;3534;1390;1489;487;2585;1
0;1615;46;2590;1642;2196;1490;3124;1
0;830;205;3158;1959;809;1429;5025;1
1;890;259;4872;1776;2409;855;5945;1
4;1489;461;2997;1274;2310;402;1998;1
5;1014;54;3980;1874;2491;1211;2469;1
2;2380;79;2357;1084;2628;628;1553;1
7;1033;108;2149;1868;4126;625;2774;1
10;1068;236;1649;2133;2288;773;4390;1
3;1061;307;2374;2142;1626;2587;3379;1
0;1269;265;3258;843;2174;396;2644;1
0;1298;158;3462;1551;2750;1351;3805;1
1;1058;325;2915;1033;1185;613;3586;1
13;867;158;3314;1790;3529;611;2292;1
2;896;394;4172;2245;1990;532;2181;1
3;927;318;3291;1964;1332;690;4465;1
17;1200;383;1666;706;1447;545;4727;1
3;671;698;4119;1300;1657;349;1197;1
48;546;738;3745;1667;1392;479;2637;1
0;1368;234;2974;1396;1874;590;1292;1
21;643;422;3074;1228;1854;677;2824;1
0;751;1449;5803;820;2639;713;2510;1
0;869;215;3347;2011;1658;547;2143;1
0;796;56;2476;1659;2196;1635;3328;1
8;792;320;5119;5853;1863;612;2133;1
1;1298;49;1996;1811;4989;1051;1545;1
31;1010;383;5160;1534;1332;770;2892;1
0;856;217;3585;2433;3120;795;1923;1
8;1820;304;3755;2790;6378;501;506;1
10;647;271;2328;898;1302;469;2082;1
0;760;226;3718;1702;2124;400;1859;1
4;1224;713;2938;2422;2469;424;1444;1
0;1031;397;2950;1743;1867;578;1194;1
5;812;175;3988;1501;1865;506;2157;1
0;870;222;2959;2576;2823;398;2058;1
1;877;350;3022;2272;1716;608;3206;1
10;877;212;5987;5879;1917;548;1639;1
11;596;497;3628;1497;3121;765;2260;1
24;787;263;3084;2839;2173;598;4188;1
2;744;205;1951;1222;1926;741;4244;1
5;562;476;3923;1812;1040;701;1600;1
0;1110;1417;4149;1123;1394;353;2090;1
127;1284;188;3752;1623;2063;1159;2823;1
17;1195;223;2518;1753;1988;1158;3406;0
6;964;245;2235;813;1236;604;4578;1
14;1135;537;2601;2793;4640;691;3606;1
0;1251;110;2553;1933;1588;827;1105;1
11;754;103;4295;902;1509;1249;2322;1
100;812;263;5845;1762;1349;614;2285;1
10;823;166;4051;1727;1796;1091;3800;1
2;1031;205;2467;2125;1283;822;2774;1
0;842;680;2592;2268;1241;441;3106;0
4;1556;691;3664;3604;3757;1251;5630;1
1;943;393;3326;2312;2621;1172;2575;0
0;657;419;7501;2708;1468;640;2059;1
6;806;238;3051;1500;2212;545;1034;1
0;987;152;3306;2044;2661;687;2744;0
64;812;216;3731;1047;1730;522;2417;1
57;654;477;3222;1186;1200;519;1626;1
3;876;246;3771;1537;1258;1031;2179;0
11;782;281;1740;2113;2151;531;2239;0
8;1290;86;7127;1971;2214;382;812;0
68;1144;152;2357;2168;2100;539;2958;0
1;687;279;3219;1236;1808;750;2954;0
16;818;274;2854;1197;2434;814;4247;0
2;1129;815;3000;1231;3043;960;2543;0
1;1081;434;3215;1565;2593;876;2854;0
0;1000;533;3233;1535;1265;845;2335;0
3;820;387;2364;1411;1776;361;2548;1
5;580;91;3559;1909;3084;664;2582;1
1;765;342;3423;2308;3278;553;2696;1
0;960;246;2414;1986;2543;971;3558;0
54;708;437;2684;2771;1588;318;1944;0
0;902;487;3624;796;1368;702;2150;0
2;1141;158;2418;1829;17203;697;4123;1
3;1094;119;2622;1318;2419;617;1412;1
5;764;277;4048;2125;2207;765;2019;1
9;1162;40;1623;707;1030;920;3240;1
32;988;451;2368;1430;1536;523;4794;1
3;1080;673;4466;1378;1566;490;1453;1
4;732;65;2633;1561;4179;785;1769;1
7;1006;183;3137;2305;1663;893;5350;1
1;855;135;3923;1159;1209;615;2379;1
0;985;379;2668;1919;1063;593;1974;1
20;460;201;2023;689;1369;676;2896;1
0;969;435;2001;1697;3051;767;2671;0
1;939;445;2343;2897;2672;655;2984;0
9;1409;243;5204;3627;2989;811;3149;0
7;784;415;1940;1666;1660;685;4564;0
0;1041;1026;2315;1198;2028;761;4160;0
8;1155;1550;3146;1912;2124;290;1337;0
12;842;359;3354;1737;2961;370;1819;0
1;991;291;2346;1799;4428;652;3014;0
4;982;463;1660;1206;2513;883;3565;0
0;1332;117;2221;2620;1601;2056;2806;0
0;1284;78;3204;874;2446;1356;1549;1
2;778;230;2741;2982;1406;852;3729;0
43;967;696;3738;1522;2701;523;1423;0
2;867;264;3272;4334;1838;391;842;0
0;662;366;2012;1356;2057;656;2237;1
0;1831;610;6868;3291;2401;669;2070;0
0;1149;216;5168;2364;1752;924;2955;1
50;909;123;2412;2416;2060;726;3000;1
10;1293;199;2948;1595;1868;464;1817;0
